   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 11/06/14
 -12.57742 -12.54843 -12.51618 -12.46839 -12.42736 -12.38089 -12.30996 -12.24849
 -12.18000 -12.07936 -11.99399 -11.89793 -11.75239 -11.62603 -11.48333 -11.26797
 -11.08462 -10.88458 -10.60034 -10.37293 -10.13443  -9.79636  -9.52787  -9.25767
 -12.77204 -12.75111 -12.72609 -12.68914 -12.65785 -12.62146 -12.56463 -12.51586
 -12.46296 -12.38373 -12.31551 -12.23976 -12.12383 -12.02299 -11.91106 -11.74221
 -11.59686 -11.43622 -11.20049 -11.00403 -10.79013 -10.47173 -10.21102  -9.94766
 -13.00996 -12.99535 -12.97821 -12.95179 -12.92893 -12.90315 -12.86259 -12.82664
 -12.78670 -12.72742 -12.67720 -12.62158 -12.53593 -12.46101 -12.37794 -12.25371
 -12.14674 -12.02679 -11.84648 -11.68828 -11.50415 -11.21481 -10.97220 -10.72645
 -13.16511 -13.15327 -13.13997 -13.11947 -13.10118 -13.08019 -13.04806 -13.01956
 -12.98662 -12.93823 -12.89744 -12.85104 -12.78038 -12.71945 -12.65147 -12.54988
 -12.46204 -12.36209 -12.20874 -12.06898 -11.89993 -11.63401 -11.41334 -11.19011
 -13.33001 -13.32094 -13.31039 -13.29462 -13.28094 -13.26486 -13.23871 -13.21553
 -13.19021 -13.15236 -13.11900 -13.08060 -13.02332 -12.97483 -12.92060 -12.83868
 -12.76658 -12.68270 -12.54925 -12.42331 -12.26895 -12.03382 -11.84466 -11.65405
